admin1,admin2,admin3,lon,lat,type_school,environment,name,postal_code,num_classrooms,num_sections,num students,num teachers,water,electricity,num_latrines,tower_dist,tower_type_service,tower_type,tower_code,tower_latitude,tower_longitude
01-H Charghi,Amourj,Adel Bagrou,-7.03406,15.53499,Public,Urbain,adelbagrou1,1102273,7,7,557,9,1,0,12,0.29,2G,Tower1,MA2G0080,15.534275,-7.027264
01-H Charghi,Amourj,Adel Bagrou,-7.0333,15.52849,Public,Urbain,adelbagrou3,1102273,6,7,322,7,1,0,12,0.29,2G,Tower1,MA2G0080,15.534275,-7.027264
01-H Charghi,Amourj,Adel Bagrou,-7.0214,15.53827,Public,Urbain,adelbegurou2,1102273,6,7,363,8,1,0,4,0.29,2G,Tower1,MA2G0080,15.534275,-7.027264
01-H Charghi,Amourj,Adel Bagrou,-7.0252,15.53598,Public,Urbain,adelbegurou4,1102273,6,7,327,7,0,0,0,0.29,2G,Tower1,MA2G0080,15.534275,-7.027264
01-H Charghi,Amourj,Adel Bagrou,-7.60488,15.7862,Public,Rural,aganate1,1102060,1,2,93,1,0,0,0,21.92,No Service,Tower1,MA2G0141,15.77411,-7.40041
01-H Charghi,Amourj,Adel Bagrou,-7.14671,15.85396,Public,Rural,almelse,1102055,4,5,153,3,0,0,0,1.52,2G,Tower1,MA2G0079,15.857435,-7.132927
01-H Charghi,Amourj,Adel Bagrou,-6.54821,15.80766,Public,Rural,archane,1102113,2,1,54,1,0,0,0,59.62,No Service,Tower1,MA2G0080,15.534275,-7.027264
01-H Charghi,Amourj,Adel Bagrou,-6.78614,15.87362,Public,Rural,Bekou,1102143,2,2,94,1,0,0,0,37.61,No Service,Tower1,MA2G0079,15.857435,-7.132927
01-H Charghi,Amourj,Adel Bagrou,-7.89772,16.5427,Public,Rural,craeelbarke,1102054,1,2,64,1,0,0,0,7.42,2G,Tower1,MA2G0079,15.857435,-7.132927
01-H Charghi,Amourj,Adel Bagrou,-7.04869,15.81837,Public,Rural,Dar el barka tnaked,1102202,1,1,51,1,0,0,0,10,2G,Tower1,MA2G0079,15.857435,-7.132927
01-H Charghi,Amourj,Adel Bagrou,-7.050317,16.625667,Public,Rural,darelbaidha,1102181,1,2,63,1,0,0,0,16.69,2G,Tower1,MR2G0001,15.527149,-7.03771
01-H Charghi,Amourj,Adel Bagrou,-7.160933,16.681283,Public,Rural,darnaime,1102007,2,2,85,1,0,0,0,14.29,2G,Tower1,MR2G0001,15.527149,-7.03771
01-H Charghi,Amourj,Adel Bagrou,-6.67093,15.51777,Public,Rural,debayledress,1102155,1,2,107,1,0,0,0,38.22,No Service,Tower1,MA2G0080,15.534275,-7.027264
01-H Charghi,Amourj,Adel Bagrou,-7.14816,15.55299,Public,Rural,delaha,1102012,3,2,113,1,0,0,2,12.18,2G,Tower1,MR2G0001,15.527149,-7.03771
01-H Charghi,Amourj,Adel Bagrou,-6.67488,15.77227,Public,Rural,diebel,1102139,2,2,33,1,0,0,0,46.09,No Service,Tower1,MA2G0080,15.534275,-7.027264
